Publication Number,Priority Date,Inventor - w/address,Assignee - Original w/address
WO1994004658A1,1992-08-21 | 1993-08-18,DE VRIES Jan | PUNNONEN Juha,SCHERING CORPORATION | DE VRIES Jan | PUNNONEN Juha
WO1994026891A3,1993-05-19 | 1993-07-07 | 1993-07-16 | 1993-08-13 | 1993-08-24 | 1993-11-19 | 1993-12-03 | 1994-05-18,HANNUM Charles H. | LEE Frank D. | BIRNBAUM Daniel | CULPEPPER Janice A.,SCHERING CORPORATION | INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE | HANNUM Charles H. | LEE Frank D. | BIRNBAUM Daniel | CULPEPPER Janice A.
WO1994011510A2,1992-11-16 | 1993-11-15,"MOORE JEFFREY G. US,US | BOND MARTHA W. US,US | CAMPBELL DAVID S. US,US | LEE FRANK D. US,US","SCHERING CORPORATION US,US"
WO1994026891A2,1993-05-19 | 1993-07-07 | 1993-07-16 | 1993-08-13 | 1993-08-24 | 1993-11-19 | 1993-12-03 | 1994-05-18,"HANNUM CHARLES H. US,US | LEE FRANK D. US,US | BIRNBAUM DANIEL FR,FR | CULPEPPER JANICE A. US,US","SCHERING CORPORATION US,US | INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE M FR,FR"
WO2000001817A2,1998-07-06 | 1998-07-13 | 1998-07-23 | 1998-08-12 | 1998-08-18 | 1998-09-11 | 1999-07-06,"BATES Elizabeth Esther Mary,FR | LEBECQUE Serge J. E.,FR | MURPHY Erin E.,US | MATTSON Jeanine D.,US | GORMAN Daniel M.,US | HEDRICK Joseph A.,US | WANG Luquan,US | ZLOTNIK Albert,US | MURGOLO Nicholas J.,US | GREENE Jonathan R.,US | JOHNSTON James A.,US | BAZAN Jose Fernando,US | MAHONY Daniel,US | LEES Emma M.,US","SCHERING CORPORATION,US"
WO2003014702A2,2001-08-08 | 2002-08-06,"BAZAN J. Fernando,US | BEEBE Amy M.,US | DE WAAL MALEFYT Rene,US | GORMAN Daniel M.,US | KIRK Peter,US | KURATA Hirokazu,US | RENNICK Donna,US","SCHERING CORPORATION,US"
WO2003030835A2,2001-10-12 | 2002-10-11,"BIGLER Michael E.,US | CHERWINSKI Holly,US | PHILLIPS Joseph H.,US","SCHERING CORPORATION,US"
WO2002024874A2,2000-09-21 | 2001-09-18,"BLOM Bianca,NL | LIU Yong-Jun,US","SCHERING CORPORATION,US"
WO2006099037A2,2005-03-11 | 2006-03-09,"COSTE INVERNIZZI Isabelle,FR | RENNO Toufic,FR","SCHERING CORPORATION,US"
WO2002096415A2,2001-05-25 | 2001-09-21 | 2002-05-22,"DAVIS Harry R.,US | PARKER Eric McFee,US | VAN HEEK Margaret,US | WONG Gwendolyn Tse,US | MERKEL Laura B.,US","SCHERING CORPORATION,US"
WO1999003993A2,1997-07-18 | 1997-08-15 | 1998-07-17,"JOHNSON James A.,US","SCHERING CORPORATION,US"
WO2001006849A1,1999-07-21 | 2000-07-20,"LIRA Sergio A.,US | YANG Tong-Yuan,US","SCHERING CORPORATION,US"
WO2002024874A3,2000-09-21 | 2001-09-18,"LIU Yong-Jun,US","SCHERING CORPORATION,US"
WO2000046248A1,1999-02-03 | 2000-02-02,"OLDHAM Elizabeth R.,US | HOMEY Bernhard,US | DIEU-NOSJEAN Marie-Caroline,FR | CAUX Christophe,FR | ZLOTNIK Albert,US","SCHERING CORPORATION,US"
WO2006130177A1,2005-05-27 | 2005-12-14,"WITCHEY LAKSHMANAN Leonore,US | UGWU Sydney,US | SANDWEISS Varda,US | HARDALO Catherine,US | HARE Roberta S.,US | KRISHNA Gopal,US | WANG Zaiqi,US | TAGLIETTI Marco,US","SCHERING CORPORATION,US"
WO2005117831A1,2004-05-28 | 2005-05-27,"WITCHEY LAKSHMANAN Leonore,US | UGWU Sydney,US | SANDWEISS Varda,US | HARDALO Catherine,US | HARE Roberta S.,US | KRISHNA Gopal,US | WANG Zaiqi,US | TAGLIETTI Marco,US","SCHERING CORPORATION,US"
WO1997015320A1,1995-10-27 | 1995-12-08 | 1996-10-23,"BANCHEREAU Jacques,FR | DJOSSOU Odille,FR | FLORES-ROMO Leopoldo,US | FOSSIEZ Fran�ois,FR | GOLSTEIN Pierre,FR | KRISHNA Mala,US | LEBECQUE Serge J. E.,FR | MURRAY Richard,US","SCHERING CORPORATION,US | INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,FR"
WO2005074985A2,2004-02-02 | 2005-01-31,"TRUITT Robert L.,US | ROSENBLUM Michael,US | OLASZ Edit,US","SCHERING CORPORATION,US | TRUITT Robert L.,US | ROSENBLUM Michael,US | OLASZ Edit,US"
WO2009037093A1,2007-09-21 | 2008-08-29,"SCHIEFELBEIN J�rgen Prof. Dr. med. Dr. h.c.,ES","SCHIEFELBEIN J�rgen Prof. Dr. med. Dr. h.c.,ES"
WO2002004516A2,2000-07-10 | 2001-07-09,"SCHILD Hansj�rg,DE | SINGH-JASUJA Harpreet,DE","SCHILD Hansj�rg,DE | SINGH-JASUJA Harpreet,DE"
WO1991001720A1,1989-08-07 | 1990-08-06,SCHLAMEUS Herman Wade | FOX William Casey | MANGOLD Donald Jacob | TRIPLETT Robert Gill | HOLT George Richard | AUFDEMORTE Thomas Bruce,SCHLAMEUS Herman Wade | FOX William Casey | MANGOLD Donald Jacob | TRIPLETT Robert Gill | HOLT George Richard | AUFDEMORTE Thomas Bruce
WO2009109604A1,2008-03-04 | 2009-03-04,"SCHMIDT-LUCKE Caroline,DE | TSCHOEPE Carsten,DE | SCHULTHEISS Heinz-Peter,DE","SCHMIDT-LUCKE Caroline,DE | TSCHOEPE Carsten,DE | SCHULTHEISS Heinz-Peter,DE"
WO2002010351A3,2000-07-31 | 2001-07-30,"SITTINGER Michael,DE | GR�GER Andreas,DE | WANJURA Frank,DE | HAISCH Andreas,DE","SCHMITT-WALDBURG GBR,DE"
WO2006088029A1,2005-02-15 | 2006-02-14,"ADACHI Eijiro,JP | OHASHI Shihoka,JP | HIRAI Kazuya,JP","SCHOOL JURIDICAL PERSON KITASATO GAKUEN,JP"
WO2008129997A1,2007-04-17 | 2008-04-16,"SAKURAGAWA Norio,JP | KAMO Isao,JP","SCHOOL JURIDICAL PERSON KITASATO GAKUEN,JP | SAKURAGAWA Norio,JP | KAMO Isao,JP"
WO2004019981A1,2002-08-29 | 2003-08-26,"ISHIDA Torao,JP | ZHANG Yanjun,JP | KONDO Hiroyo,JP | YU Zhifeng,JP","SCHOOL JURIDICAL PERSON SUZUKA UNIVERSITY OF MEDICAL SCIENCE,JP"
WO2002072799A1,2001-03-12 | 2002-03-12,"DIECKMANN Detlef,DE","SCHULER Gerold,DE"
WO2002016560A1,2000-08-24 | 2001-08-24,"SCHULER THURNER Beatrice,DE","SCHULER Gerold,DE"
WO2003012081A1,2001-07-27 | 2002-07-26,"THURNER-SCHULER Beatrice,DE | BERGER Thomas,DE","SCHULER Gerold,DE"
WO2001059068A2,2000-02-08 | 2001-02-07,"SCHULTZ Olaf,DE | SITTINGER Michael,DE","SCHULTZ Olaf,DE | SITTINGER Michael,DE"
WO2010129294A2,2009-04-27 | 2010-04-27,"SCHULZ Thomas C.,US | ROBINS Allan J.,US","SCHULZ Thomas C.,US | ROBINS Allan J.,US"
WO2005095584A1,2004-03-31 | 2005-03-31,"SCHWARTZ ALBIEZ Reinhard,DE | PUNZEL Michael,DE","SCHWARTZ ALBIEZ Reinhard,DE | PUNZEL Michael,DE"
WO2005105982A1,2004-03-31,"SCHWARTZ ALBIEZ Reinhardt,DE | PUNZEL Michael,DE","SCHWARTZ ALBIEZ Reinhardt,DE | PUNZEL Michael,DE"
WO2003031474A2,2001-10-04 | 2002-10-03,"SCHWARZ Herbert,GB","SCHWARZ Herbert,GB"
WO2003031474A3,2001-10-04 | 2002-10-03,"SCHWARZ Herbert,GB","SCHWARZ Herbert,GB"
WO1998035696A1,1997-02-18 | 1998-02-17,"KNUTSEN Alan P.,US","SCICLONE PHARMACEUTICALS INC.,US"
WO2005010024A2,2003-07-22 | 2004-07-21,"LARSON Richard S.,US","SCIENCE & TECHNOLOGY CORPORATION @ UNM,US | LARSON Richard S.,US"
WO2007027905A2,2005-08-31 | 2006-08-31,"WANDINGER NESS Angela,US | ROITBAK Tamara,US | ROMERO Elsa G.,US","SCIENCE AND TECHNOLOGY CORPORATION @ UNM,US"
WO2007027905A3,2005-08-31 | 2006-08-31,"WANDINGER-NESS Angela,US | ROITBAK Tamara,US | ROMERO Elsa G.,US","SCIENCE AND TECHNOLOGY CORPORATION @ UNM,US | WANDINGER-NESS Angela,US | ROITBAK Tamara,US | ROMERO Elsa G.,US"
WO1999054439A1,1998-04-17 | 1998-10-13 | 1999-04-16,"EPPICH Henry M.,US | REILLY Dennis A.,US","SCIENCE RESEARCH LABORATORY INC.,US"
WO1999011771A1,1997-09-04 | 1998-09-04,"MANGANO Joseph A.,US | EPPICH Henry M.,US","SCIENCE RESEARCH LABORATORY INC.,US"
WO2004024199A1,2002-09-10 | 2003-07-09,"HELLERBRAND Klaus,DE | BEAUCAMP Nicola,DE | KOHNERT Ulrich,DE","SCIL TECHNOLOGY GMBH,DE"
WO2005070334A1,2004-01-13 | 2004-10-18,"EIDENSCHINK Tracee,US | WEBER Jan,US","SCIMED LIFE SYSTEM INC.,US"
WO2005016184A1,2003-08-14 | 2004-08-13,"LI Jamie,US | MADDEN Michael,US","SCIMED LIFE SYSTEM INC.,US"
WO2005082280A1,2004-02-24 | 2004-11-17,"EIDENSCHINK Tracee,US","SCIMED LIFE SYSTEMS INC.,US"
WO2005067818A1,2003-12-29 | 2004-10-18,"EIDENSCHINK Tracee,US | GREGORICH Daniel,US | JAGGER Karl A.,US","SCIMED LIFE SYSTEMS INC.,US"
WO2005025458A1,2003-09-08 | 2004-06-22,"EIDENSCHINK Tracee,US | TRAN The Thomas Trinh,US","SCIMED LIFE SYSTEMS INC.,US"
WO2004006990A2,2002-07-12 | 2003-07-11,"FREYMAN Toby,US | NAIMARK Wendy,US","SCIMED LIFE SYSTEMS INC.,US"
WO2005009497A1,2003-07-17 | 2004-07-16,"FREYMAN Toby,US | NAIMARK Wendy,US | PALASIS Maria,US","SCIMED LIFE SYSTEMS INC.,US"
WO2005053577A2,2003-11-26 | 2004-11-23,"JANG David G.,US","SCIMED LIFE SYSTEMS INC.,US"
WO2005070335A1,2004-01-12 | 2004-11-17,"LARSON Karen,US | JAGGER Karl A.,US | GUNDERSON Richard C.,US | GERDTS Michael,US","SCIMED LIFE SYSTEMS INC.,US"
WO2003032815A2,2001-10-15 | 2002-10-15,"NAIMARK Wendy,US | PALASIS Maria,US","SCIMED LIFE SYSTEMS INC.,US"
WO2004006942A1,2002-07-12 | 2003-07-09,"PALASIS Maria,US | BARRY James J.,US | ROSENTHAL Arthur,US","SCIMED LIFE SYSTEMS INC.,US"
WO2004060426A1,2002-12-30 | 2003-12-11,"SAHATJIAN Ronald A.,US | BANIK Michael S.,US | ZHONG Sheng Ping,US | FREYMAN Toby,US | VU Liem,US | DAO Kinh Luan D.,US | CHIN Yem,US","SCIMED LIFE SYSTEMS INC.,US"
WO2002008389A2,2000-07-26 | 2001-07-26,"UENO Takafumi,US | MUROHARA Toyoaki,JP | ROBINSON Keith Allen,US | CHRONOS Nicolas A. F.,US | BALDWIN Sam,US | PALASIS Maria,US","SCIMED LIFE SYSTEMS INC.,US"
WO2005009498A2,2003-07-17 | 2004-07-16,"FREYMAN Toby,US","SCIMED LIFE SYSTEMS INC.,US | FREYMAN Toby,US"
WO2001037959A1,1999-11-20 | 2000-11-20,"BL�TTERS-SAWATZKI Renate,DE | CZERMAK Peter,DE","SCINU TEC GMBH,DE"
WO2006055302A2,2004-11-04 | 2004-12-03 | 2005-11-04,"NAVAS Mario A.,US | HIGGINS Linda S.,US","SCIOS INC.,US"
WO2006055302A3,2004-11-04 | 2004-12-03 | 2005-11-04,"NAVAS Mario A.,US | HIGGINS Linda S.,US","SCIOS INC.,US | NAVAS Mario A.,US | HIGGINS Linda S.,US"
WO1984001898A1,1982-11-09 | 1983-11-01 | 1983-11-07,GOODMAN Michael G. | WEIGLE William O.,SCRIPPS CLINIC AND RESEARCH FOUNDATION
WO2010119403A2,2009-04-14 | 2010-04-14,"CIOFANI Gianni,IT | RAFFA Vittoria,IT | DANTI Serena,IT | MENCIASSI Arianna,IT | DARIO Paolo,IT | PETRINI Mario,IT | CUSCHIERI Alfred,GB","SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,IT | FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,IT | CIOFANI Gianni,IT | RAFFA Vittoria,IT | DANTI Serena,IT | MENCIASSI Arianna,IT | DARIO Paolo,IT | PETRINI Mario,IT | CUSCHIERI Alfred,GB"
WO2006102417A2,2005-03-22 | 2006-03-22,"MARX Jeffrey C.,US | MCKAY William F.,US | BODEN Scott D.,US","SDGI HOLDINGS INC.,US"
WO2000045870A1,1999-02-04 | 2000-02-04,"MCKAY William F.,US","SDGI HOLDINGS INC.,US"
WO2005004886A1,2003-07-09 | 2004-07-01,"MCKAY William F.,US | MARX Jeffery C.,US","SDGI HOLDINGS INC.,US"
WO2004108023A1,2003-06-05 | 2004-06-04,"RAY Eddie F. III,US | MCKAY William F.,US | REEVES Cary R.,US | SIMONTON Thomas A.,US | BIDSEIL James J.,US","SDGI HOLDINGS INC.,US"
WO2005014071A1,2003-08-06 | 2004-08-06,"TRIEU Hai H.,US","SDGI HOLDINGS INC.,US"
WO2004093934A3,2003-03-28 | 2004-03-12,"TRIEU Hai H.,US","SDGI HOLDINGS INC.,US"
WO2006074422A1,2002-09-18 | 2002-11-15 | 2003-11-07 | 2005-01-06 | 2006-01-06,"TRIEU Hai H.,US | SHERMAN Michael C.,US","SDGI HOLDINGS INC.,US"
WO2006128100A2,2005-05-27 | 2006-05-30,"DRAPEAU Susan J.,US | YOON Sangwook T.,US","SDGI HOLDINGS INC.,US | EMORY UNIVERSITY,US"
WO2004093934A2,2003-03-28 | 2004-03-12,"TRIEU Hai H.,US","SDGI HOLDINGS INC.,US | TRIEU Hai H.,US"
WO2008089073A2,2007-01-12 | 2008-01-11,"HOROWITZ Lawrence,US | BHATT Ramesh R.,US","SEA LANE BIOTECHNOLOGIES LLC,US | HOROWITZ Lawrence,US | BHATT Ramesh R.,US"
WO2008089073A3,2007-01-12 | 2008-01-11,"HOROWITZ Lawrence,US | BHATT Ramesh R.,US","SEA LANE BIOTECHNOLOGIES LLC,US | HOROWITZ Lawrence,US | BHATT Ramesh R.,US"
WO2004047768A2,2002-11-26 | 2003-11-26,"PRATT Daniel J.,US | MACAUSLAND Samuel S.,US | BAKER Keith,US","SEACOAST NEUROSCIENCE INC.,US | PRATT Daniel J.,US | MACAUSLAND Samuel S.,US | BAKER Keith,US"
WO2010120367A1,2009-04-14 | 2010-04-14,"BOYDEN Edward S.,US | DELLA ROCCA Gregory J.,US | HYDE Roderick A.,US | KARE Jordin T.,US | LEUTHARDT Eric C.,US | SANTIAGO M.D. Paul,US | STEWART M.D. Todd J.,US","SEARETE LLC,US | BOYDEN Edward S.,US | DELLA ROCCA Gregory J.,US | HYDE Roderick A.,US | KARE Jordin T.,US | LEUTHARDT Eric C.,US | SANTIAGO M.D. Paul,US | STEWART M.D. Todd J.,US"
WO2007139564A1,2006-05-26 | 2006-08-07,"ISHIKAWA Muriel Y.,US | JUNG Edward K. Y.,US | LEUTHARDT Eric C.,US | MYHRVOLD Nathan P.,US | WOOD Lowell L. Jr.,US","SEARETE LLC,US | ISHIKAWA Muriel Y.,US | JUNG Edward K. Y.,US | LEUTHARDT Eric C.,US | MYHRVOLD Nathan P.,US | WOOD Lowell L. Jr.,US"
WO2000043499A2,1999-01-25 | 2000-01-25,"BARTELMEZ Stephen H.,US | SITNICKA Ewa,US | RUSCETTI Frank,US","SEATTLE BIOMEDICAL RESEARCH INSTITUTE,US"
WO2000043499A3,1999-01-25 | 2000-01-25,"BARTELMEZ Stephen H.,US | SITNICKA Ewa,US | RUSCETTI Frank,US","SEATTLE BIOMEDICAL RESEARCH INSTITUTE,US"
WO2005062791A2,2003-12-20 | 2004-12-17,"SEBASTIAN Jeffrey,US | SEBASTIAN Quyhn,US","SEBASTIAN Jeffrey,US | SEBASTIAN Quyhn,US"
WO2005062791A3,2003-12-20 | 2004-12-17,"SEBASTIAN Jeffrey,US | SEBASTIAN Quyhn,US","SEBASTIAN Jeffrey,US | SEBASTIAN Quyhn,US"
WO2004074319A1,2003-02-21 | 2003-05-21 | 2004-02-20,"TAKATA Takashi,JP | KITAGAWA Shoji,JP | KANEDA Yuji,JP","SEIKAGAKU CORPORATION,JP"
WO2010086972A1,2009-01-28,"SEKIYAMA Atsuo,JP","SEKIYAMA Atsuo,JP"
WO2008109320A1,2007-03-08 | 2008-02-28,"SEKULA Raymond F. Jr.,US","SEKULA Raymond F. Jr.,US"
WO2003086276A2,2002-04-05 | 2003-04-01,"ABBOTT Robert,US | LAROCCA David,US | BAIRD Andrew,GB","SELECTIVE GENETICS INC.,US | ABBOTT Robert,US | LAROCCA David,US | BAIRD Andrew,GB"
WO2001040272A2,1999-12-01 | 2000-11-30,"PIERCE Glenn,US | CHANDLER Lois Ann,US","SELECTIVE GENETICS INC.,US | PIERCE Glenn,US | CHANDLER Lois Ann,US"
WO2003029429A2,2001-10-03 | 2002-10-02,"SOSNOWSKI Barbara A.,US | PIERCE Glenn,US","SELECTIVE GENETICS INC.,US | SOSNOWSKI Barbara A.,US | PIERCE Glenn,US"
WO2009156178A8,2008-06-27 | 2009-06-26,"SELIGER Christian,DE | KOTHLOW Sonja,DE | KASPERS Bernd,DE","SELIGER Christian,DE | KOTHLOW Sonja,DE | KASPERS Bernd,DE"
WO2009156178A1,2008-06-27 | 2009-06-26,"SELIGER Christian,DE | KOTHLOW Sonja,DE | KASPERS Bernd,DE","SELIGER Christian,DE | KOTHLOW Sonja,DE | KASPERS Bernd,DE"
WO2004089925A1,2003-04-03 | 2004-04-03,"PATTERSON Mary,US | SU Jingdong,US | SUHR Robert G.,US","SEMAFORE PHARMACEUTICALS INC.,US | GARLICH Joseph R.,US | DURDEN Donald L.,US"
WO2005097119A2,2004-04-06 | 2004-07-20 | 2004-11-08 | 2005-04-06,"GARLICH Joseph R.,US | DURDEN Donald L.,US | GEORGIADIS Taxiarchis M.,US | SU Jingdong,US | PENG Xiaodong,US | SMITH Tim C.,US","SEMAFORE PHARMACEUTICALS INC.,US | GARLICH Joseph R.,US | DURDEN Donald L.,US | GEORGIADIS Taxiarchis M.,US | SU Jingdong,US | PENG Xiaodong,US | SMITH Tim C.,US"
WO2009094560A3,2008-01-24 | 2008-11-03 | 2009-01-23,"MORALES Guillermo A.,US | WEBER Kevin T.,US | NEWBLOM Jessica M.,US | PENG Xiaodong,US | SU Jingdong,US | GARLICH Joseph R.,US","SEMAFORE PHARMACEUTICALS INC.,US | MORALES Guillermo A.,US | WEBER Kevin T.,US | NEWBLOM Jessica M.,US | PENG Xiaodong,US | SU Jingdong,US | GARLICH Joseph R.,US"
WO2009094560A2,2008-01-24 | 2008-11-03 | 2009-01-23,"MORALES Guillermo A.,US | WEBER Kevin T.,US | NEWBLOM Jessica M.,US | PENG Xiaodong,US | SU Jingdong,US | GARLICH Joseph R.,US","SEMAFORE PHARMACEUTICALS INC.,US | MORALES Guillermo A.,US | WEBER Kevin T.,US | NEWBLOM Jessica M.,US | PENG Xiaodong,US | SU Jingdong,US | GARLICH Joseph R.,US"
WO2003091394A2,2002-04-25 | 2003-04-22,"CAO Bo,CN","SEMIBIO TECHNOLOGY INC.,US | CAO Bo,CN"
WO2009107088A2,2008-02-26 | 2009-02-26,"LACZA Zsombor,HU | WESZL Mikl�s,HU","SEMMELWEIS UNIVERSITY,HU | LACZA Zsombor,HU | WESZL Mikl�s,HU"
WO2009107088A3,2008-02-26 | 2009-02-26,"LACZA Zsombor,HU | WESZL Mikl�s,HU","SEMMELWEIS UNIVERSITY,HU | LACZA Zsombor,HU | WESZL Mikl�s,HU"
WO2007146120A3,2006-06-08 | 2006-07-17 | 2006-10-04 | 2006-11-16 | 2007-06-08,"MOYER Bryan,US | LU Min,US | ECHEVERRI Fernando,US | KALABAT Dalia,US | GAO Na,US | HEVEZI Peter,US","SENOMYX INC.,US | MOYER Bryan,US | LU Min,US | ECHEVERRI Fernando,US | KALABAT Dalia,US | GAO Na,US | HEVEZI Peter,US"
WO2007146120A2,2006-06-08 | 2006-07-17 | 2006-10-04 | 2006-11-16 | 2007-06-08,"MOYER Bryan,US | LU Min,US | ECHEVERRI Fernando,US | KALABAT Dalia,US | GAO Na,US | HEVEZI Peter,US","SENOMYX INC.,US | MOYER Bryan,US | LU Min,US | ECHEVERRI Fernando,US | KALABAT Dalia,US | GAO Na,US | HEVEZI Peter,US"
WO2008153924A3,2007-06-08 | 2007-06-29 | 2007-08-03 | 2007-11-13 | 2007-11-19 | 2007-11-30 | 2007-12-05 | 2007-12-28 | 2008-01-16 | 2008-04-08 | 2008-05-15 | 2008-06-06,"MOYER Bryan,US | ZLOTNIK Albert,US | HEVEZI Peter,US | SOTO Hortensia,US | KALABAT Dalia,US | LU Min,US | GAO Na,US | WHITE Evan,US","SENOMYX INC.,US | MOYER Bryan,US | ZLOTNIK Albert,US | HEVEZI Peter,US | SOTO Hortensia,US | KALABAT Dalia,US | LU Min,US | GAO Na,US | WHITE Evan,US"
WO2008153924A2,2007-06-08 | 2007-06-29 | 2007-08-03 | 2007-11-13 | 2007-11-19 | 2007-11-30 | 2007-12-05 | 2007-12-28 | 2008-01-16 | 2008-04-08 | 2008-05-15 | 2008-06-06,"MOYER Bryan,US | ZLOTNIK Albert,US | HEVEZI Peter,US | SOTO Hortensia,US | KALABAT Dalia,US | LU Min,US | GAO Na,US | WHITE Evan,US","SENOMYX INC.,US | MOYER Bryan,US | ZLOTNIK Albert,US | HEVEZI Peter,US | SOTO Hortensia,US | KALABAT Dalia,US | LU Min,US | GAO Na,US | WHITE Evan,US"
WO2000029206A1,1998-11-13 | 1999-11-12,"WOLF David E.,US","SENSOR TECHNOLOGIES INC.,US"
WO2000056350A3,1999-03-22 | 1999-11-24 | 2000-03-22,"MCCARTHY James B.,US | MILESKI William J.,US | JAMIESON Gordon A. Jr.,US | LOW Walter C.,US | SAWCHUK Ronald J.,US | FURCHT Leo T.,US","SENTRON MEDICAL INC.,US"
WO2010013906A3,2008-07-28 | 2009-07-17,"KIM Hyo Soo,KR | LEE Eun Ju,KR | KANG Hyun Jae,KR | LEE Ha neul,KR | KIM Keum Hyun,KR","SEOUL NATIONAL UNIVERSITY HOSPITAL,KR | KIM Hyo Soo,KR | LEE Eun Ju,KR | KANG Hyun Jae,KR | LEE Ha neul,KR | KIM Keum Hyun,KR"
WO2010013906A2,2008-07-28 | 2009-07-17,"KIM Hyo Soo,KR | LEE Eun Ju,KR | KANG Hyun Jae,KR | LEE Ha neul,KR | KIM Keum Hyun,KR","SEOUL NATIONAL UNIVERSITY HOSPITAL,KR | KIM Hyo Soo,KR | LEE Eun Ju,KR | KANG Hyun Jae,KR | LEE Ha neul,KR | KIM Keum Hyun,KR"
WO2010013906A9,2008-07-28 | 2009-07-17,"KIM Hyo Soo,KR | LEE Eun-Ju,KR | KANG Hyun-Jae,KR","SEOUL NATIONAL UNIVERSITY HOSPITAL,KR | KIM Hyo Soo,KR | LEE Eun-Ju,KR | KANG Hyun-Jae,KR"
WO2007013763A1,2005-07-26 | 2006-07-26,"HWANG Woo Suk,KR | LEE Byeong Chun,KR | KANG Sung Keun,KR | KIM Min Kyu,KR | JANG Goo,KR | OH Hyun Ju,KR | KIM Hye Jin,KR | KIM Joung Ju,KR | MOHAMMAD Shamim Hossein,KR | YUDA Heru Fibrianto,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR"
WO2006083133A2,2005-02-04 | 2006-02-03,"HWANG Woo Suk,KR | LEE Byeong Chun,KR | KANG Sung Keun,KR | KIM Soon Woong,KR | KWON Dae Kee,KR | KIM Sue,KR | PARK Sun Woo,KR | HAN Kyu Hyun,KR | CHOI Ji Ho,KR | HWANG Jung Hye,KR | PAEK Sun Ha,KR | KOO Jung Jin,KR | CHANG Sang Sik,KR | KIM Dae Yong,KR | LEE Chang Kyu,KR | ROH Sung Il,KR | KIM Sun Jong,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR"
WO2007011088A1,2005-07-20,"KANG Kyung Sun,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR"
WO2007024036A1,2005-08-26,"KANG Kyung Sun,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR"
WO2009066817A1,2007-11-23,"CHANG Mi-Sook,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | CHANG Mi-Sook,KR"
WO2008088118A1,2007-01-19 | 2007-10-18,"CHANG Mi-Sook,KR | CHO Jung Sun,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | CHANG Mi-Sook,KR | CHO Jung Sun,KR"
WO2008060037A1,2006-11-15 | 2007-01-19 | 2007-09-27,"CHO Jae-jin,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | CHO Jae-jin,KR"
WO2009044943A1,2007-10-01,"CHOUNG Pill-Hoon,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | CHOUNG Pill-Hoon,KR"
WO2004094627A1,2003-04-21 | 2004-04-21,"HAN Jae Yong,KR | PARK Tae Sub,KR | HONG Yeong Ho,KR | KWON Se Chang,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | HANMI PHARM. CO. LTD.,KR | AVICORE BIOTECHNOLOGY INSTITUTE INC.,KR"
WO2008093999A1,2007-01-30 | 2007-07-31 | 2008-01-30,"HYEON Taeghwan,KR | AN Kwangjin,KR | NA Hyon Bin,KR | LEE Junghee,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | HYEON Taeghwan,KR | AN Kwangjin,KR | NA Hyon Bin,KR | LEE Junghee,KR"
WO2008044876A1,2006-10-11 | 2007-10-10,"KANG Kyung Sun,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | KANG Kyung Sun,KR"
WO2007064090A1,2005-12-02 | 2006-11-07,"KANG Kyung Sun,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | KANG Kyung Sun,KR"
WO2007133030A1,2006-05-12 | 2007-05-12,"KANG Kyung Sun,KR | KWON Oh Kyung,KR | JEONG Yun Hyeok,KR | LIM Ji Hey,KR | JUNG Chang Soo,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | KANG Kyung Sun,KR | KWON Oh Kyung,KR | JEONG Yun Hyeok,KR | LIM Ji Hey,KR | JUNG Chang Soo,KR"
WO2007064091A1,2005-12-02 | 2006-11-07,"KANG Kyung Sun,KR | RA Jeong Chan,KR | YANG Se Ran,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | KANG Kyung Sun,KR | RA Jeong Chan,KR | YANG Se Ran,KR"
WO2009066934A3,2007-11-19 | 2008-11-19,"LEE Byeong Chun,KR | KIM Min Kyu,KR | JANG Goo,KR | OH Hyun Ju,KR | HONG So Gun,KR | PARK Jung Eun,KR | KANG Jung Taek,KR","SEOUL NATIONAL UNIVERSITY INDUSTRY FOUNDATION,KR | LEE Byeong Chun,KR | KIM Min Kyu,KR | JANG Goo,KR | OH Hyun Ju,KR | HONG So Gun,KR | PARK Jung Eun,KR | KANG Jung Taek,KR"
