id,Publication Number,Title,PriorityNumber,Priority Date,INPADOC Family ID,Inventor - w/address,INPADOC Family Members,Citing Patents,Cited Refs - Patent,Assignee - Original w/address,Priority Country,url,text
6242,WO2010002955A2,STEMNESS SIGNATURE BIOMARKERS AND METHODS OF USE ,US2008133976P | WO2009US49343A,2008,20100107WO2010002955A2,"DAI Xudong,US | WINTER Christopher G.,US | DAI Hongyue,US",WO2010002955A2 | WO2010002955A3,,US20070099209A1,"MERCK & CO. INC.,US | ROSETTA INPHARMATICS LLC,US | DAI Xudong,US | WINTER Christopher G.,US | DAI Hongyue,US",US,http://www.google.com/patents?q=STEMNESS+SIGNATURE+BIOMARKERS+AND+METHODS+OF+USE+&btnG=Search+Patents,0
6248,WO2010036141A1,"AN IMPLANTABLE NEUROENDOPROSTHESIS SYSTEM, A METHOD FOR PREPARING SAME AND A PROCEDURE FOR PERFORMING OF A RECONSTRUCTIVE NEUROSURGICAL OPERATION ",RU2008138161A | WO2009RU67A,2008,20100327RU2008138161A_,"BRYUKHOVETSKIY Andrey Stepanovich,RU | SEVASTIANOV Viktor Ivanovich,RU",RU2008138161A_ | RU2394593C2 | WO2010036141A1,,RU2249462C1 | RU2283119C1 | WO2002086106A1 | WO2008102460A1,"BRYUKHOVETSKIY Andrey Stepanovich,RU | SEVASTIANOV Viktor Ivanovich,RU",RU,"http://www.google.com/patents?q=AN+IMPLANTABLE+NEUROENDOPROSTHESIS+SYSTEM,+A+METHOD+FOR+PREPARING+SAME+AND+A+PROCEDURE+FOR+PERFORMING+OF+A+RECONSTRUCTIVE+NEUROSURGICAL+OPERATION+&btnG=Search+Patents",0
6308,WO2009093856A3,"PCR PRIMER SET FOR DETECTING MYCOPLASMA IN BIOLOGICAL MEDICINAL PRODUCTS, AND A KIT FOR DETECTING MYCOPLASMA COMPRISING THE SAME ",KR20086881A | WO2009KR347A,2008,20090728KR2009081039A_,"SONG Suk Gil,KR | LEE Dong Wook,KR | SUNG Hye Ran,KR",KR2009081039A_ | WO2009093856A2 | WO2009093856A3,,KR2005017826A | US5693467A | WO2005040420A1,"NKBIO CO. LTD,KR | CHUNGBUK NATIONAL UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION,KR | SONG Suk Gil,KR | LEE Dong Wook,KR | SUNG Hye Ran,KR",KR,"http://www.google.com/patents?q=PCR+PRIMER+SET+FOR+DETECTING+MYCOPLASMA+IN+BIOLOGICAL+MEDICINAL+PRODUCTS,+AND+A+KIT+FOR+DETECTING+MYCOPLASMA+COMPRISING+THE+SAME+&btnG=Search+Patents",0
6365,WO2008034608A1,THE DEATH RECEPTOR CD95 CONTROLS NEUROGENESIS OF ADULT NEURAL STEM CELLS IN VIVO AND IN VITRO ,US2006845506P | WO2007EP8167A,2006,20080327WO2008034608A1,"MARTIN-VILLALBA Ana,DE | SCHREGLMANN Nina,DE | LETELLIER Elisabeth,DE | KLEBER Susanne,DE | KLUSSMANN Stefan,DE",EP2064235A1 | JP2010503418A_ | WO2008034608A1,,US20020127233A1 | WO2003092723A1,"DEUTSCHES KREBSFORSCHUNGSZENTRUM,DE | MARTIN-VILLALBA Ana,DE | SCHREGLMANN Nina,DE | LETELLIER Elisabeth,DE | KLEBER Susanne,DE | KLUSSMANN Stefan,DE",US | EP,http://www.google.com/patents?q=THE+DEATH+RECEPTOR+CD95+CONTROLS+NEUROGENESIS+OF+ADULT+NEURAL+STEM+CELLS+IN+VIVO+AND+IN+VITRO+&btnG=Search+Patents,0
6372,WO2009139581A3,"COMPOSITION ANTIOXYDANTE, ANTI-INFLAMMATOIRE OU ANTIVIEILLISSEMENT CONTENANT UN LIGNÉE DE CELLULES SOUCHES VÉGÉTALES DÉRIVÉE DE TAXUS CAMBIUM OU PROCAMBIUM COMME PRINCIPE ACTIF ",KR200844227A | WO2009KR2553A,2008,20091118KR2009118877A_,"LEE Dae Hee,KR | LEE Eun Kyong,KR | SO Eun Mi,KR | JIN Young Woo,KR",AU2009247069A1 | KR2009118877A_ | WO2009139581A2 | WO2009139581A3,,KR2003007997A | KR2004050324A | US20080075794A1 | WO1993017121A1 | WO1997044476A1,"UNHWA BIOTECH. CORP.,KR | LEE Dae Hee,KR | LEE Eun Kyong,KR | SO Eun Mi,KR | JIN Young Woo,KR",KR,"http://www.google.com/patents?q=COMPOSITION+ANTIOXYDANTE,+ANTI-INFLAMMATOIRE+OU+ANTIVIEILLISSEMENT+CONTENANT+UN+LIGNÉE+DE+CELLULES+SOUCHES+VÉGÉTALES+DÉRIVÉE+DE+TAXUS+CAMBIUM+OU+PROCAMBIUM+COMME+PRINCIPE+ACTIF+&btnG=Search+Patents",0
6394,WO2004080304A1,VERFAHREN UND VORRICHTUNG ZUR GEWINNUNG VON NABELSCHNURBLUT ,DE10310533A | WO2004EP2461A,2003,20040923WO2004080304A1,"ZIMMERMANN Heiko,DE | BROMBACH Till,DE | STIEGLITZ Thomas,DE | FUHR Günter,DE",DE10310533A1 | DE10310533B4 | DE502004011921D1 | EP1608266A1 | EP1608266B1 | WO2004080304A1,WO2006059958A1,US20010025170A1 | US2001025170B1 | US20020002355A1 | US2002002355B1 | WO1992003180A1 | WO1998032475A1,"FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,DE",DE | EP,http://www.google.com/patents?q=VERFAHREN+UND+VORRICHTUNG+ZUR+GEWINNUNG+VON+NABELSCHNURBLUT+&btnG=Search+Patents,0
6422,WO2010141801A2,REPROGRAMMING T CELLS AND HEMATOPHIETIC CELLS ,US2009184546P | US2009240116P | WO2010US37376A,2009,20101209WO2010141801A2,"BROWN Matthew,US | DOMINGUEZ Elizabeth Rondon,US | LEARISH Randy,US | NUWAYSIR Emile,US | RAJESH Deepika,US | MACK Amanda,US",WO2010141801A2,,EP273085A1 | EP45665A1 | US20030211603A1 | US20070238170A1 | US20080038820A1 | US20080226558A1 | US20080254003A1 | US20090047739A1 | US4683202A | US4684611A | US4952500A | US5302523A | US5322783A | US5384253A | US5464765A | US5538877A | US5538880A | US5550318A | US5563055A | US5580859A | US5589466A | US5591616A | US5610042A | US5656610A | US5702932A | US5736524A | US5780448A | US5789215A | US5925565A | US5928906A | US5935819A | US5945100A | US5981274A | US5994624A | USPP15630409P | USPP17207910P,"CELLULAR DYNAMICS INTERNATIONAL INC.,US | BROWN Matthew,US | DOMINGUEZ Elizabeth Rondon,US | LEARISH Randy,US | NUWAYSIR Emile,US | RAJESH Deepika,US | MACK Amanda,US",US,http://www.google.com/patents?q=REPROGRAMMING+T+CELLS+AND+HEMATOPHIETIC+CELLS+&btnG=Search+Patents,0
6448,WO2001030828A1,THERAPEUTIC COMPOSITIONS AND METHODS FOR TREATING DISEASE STATES WITH MUTANT FORMS OF MYELOID PROGENITOR INHIBITORY FACTOR-2 (MPIF-2) ,US1999161400P | WO2000US29351A,1999,20010503CA2388942A1,"GRZEGORZEWSKI Krzysztof J.,US | SALCEDO Theodora W.,US | KREIDER Brent L.,US",AU200113422A_ | CA2388942A1 | EP1230264A1 | JP2003528815A_ | WO2001030828A1,,US6028169A | WO1998044118A1,"HUMAN GENOME SCIENCES INC.,US",US,http://www.google.com/patents?q=THERAPEUTIC+COMPOSITIONS+AND+METHODS+FOR+TREATING+DISEASE+STATES+WITH+MUTANT+FORMS+OF+MYELOID+PROGENITOR+INHIBITORY+FACTOR-2+(MPIF-2)+&btnG=Search+Patents,0
6458,WO2010137879A2,PLANT STEM CELL DERIVED FROM CAMBIUM OF FAMILY SALICACEAE AND METHOD FOR ISOLATING AND CULTURING SAME ,KR200945955A | WO2010KR3342A,2009,20101202WO2010137879A2,"HONG Nam Ju,KR | JIN Young Woo,KR | LEE Eun Kyong,KR | HONG Sun Mi,KR",KR2010127727A_ | WO2010137879A2,,JP7316219A,"UNHWA CORPORATION,KR | HONG Nam Ju,KR | JIN Young Woo,KR | LEE Eun Kyong,KR | HONG Sun Mi,KR",KR,http://www.google.com/patents?q=PLANT+STEM+CELL+DERIVED+FROM+CAMBIUM+OF+FAMILY+SALICACEAE+AND+METHOD+FOR+ISOLATING+AND+CULTURING+SAME+&btnG=Search+Patents,0
6488,WO2010012667A1,MICRO-RNA MEDIATED MODULATION OF COLONY STIMULATING FACTORS ,US200885644P | US2008121204P | WO2009EP59608A,2008,20100204WO2010012667A1,"WORM Jesper,DK | STENVANG Jan,DK | OBAD Susanna,SE | KAUPPINEN Sakari,DK",WO2010012667A1,,US20080300211A1 | WO2003028752A1 | WO2007016548A2,"SANTARIS PHARMA A/S,DK | WORM Jesper,DK | STENVANG Jan,DK | OBAD Susanna,SE | KAUPPINEN Sakari,DK",US | EP,http://www.google.com/patents?q=MICRO-RNA+MEDIATED+MODULATION+OF+COLONY+STIMULATING+FACTORS+&btnG=Search+Patents,0
6497,WO2002067954A2,UTILISATION DU BIOCOMPLEXE PARTICULAIRE BK-RIV POUR PREPARER UN MEDICAMENT UTILISE POUR PROTEGER ET RECONSTRUIRE LE PARENCHYME HEPATIQUE ,DE10109155A | WO2002EP1881A,2001,20020905DE10109155A1,"SOLISCH Peter,DE",AU2002247736A1 | DE10109155A1 | WO2002067954A2 | WO2002067954A3,DE10306331A1,EP889053A2,"VARICULA GMBH,DE | SOLISCH Peter,DE",DE | EP,http://www.google.com/patents?q=UTILISATION+DU+BIOCOMPLEXE+PARTICULAIRE+BK-RIV+POUR+PREPARER+UN+MEDICAMENT+UTILISE+POUR+PROTEGER+ET+RECONSTRUIRE+LE+PARENCHYME+HEPATIQUE+&btnG=Search+Patents,0
6501,WO2008127670A1,"AUTOLOGOUS/ALLOGENEIC HUMAN DNA GRAFTING, ANTI-AND RESERVE AGING STEM CELL, AND BONE MARROW COMPOSITIONS/METHODS ",US2007923145P | WO2008US4738A,2007,20081023WO2008127670A1,"HATHAWAY Alecia,US | ORR William C.,US",US20090016997A1 | WO2008127670A1,,US20040151706A1,"HATHAWAY Alecia,US | ORR William C.,US",US,"http://www.google.com/patents?q=AUTOLOGOUS/ALLOGENEIC+HUMAN+DNA+GRAFTING,+ANTI-AND+RESERVE+AGING+STEM+CELL,+AND+BONE+MARROW+COMPOSITIONS/METHODS+&btnG=Search+Patents",0
6518,WO2009128610A2,CELL LABELING AND IMAGING USING MULTIFUNCTIONAL PERFLUOROCARBON NANOEMULSION ,KR200835673A | WO2009KR1488A,2008,20091021KR2009110076A_,"CHUNG Bong Hyun,KR | LIM Yong Taik,KR",KR2009110076A_ | WO2009128610A2 | WO2009128610A3,,WO2005014051A1 | WO2006064451A2 | WO2006084382A1,"KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY,KR | CHUNG Bong Hyun,KR | LIM Yong Taik,KR",KR,http://www.google.com/patents?q=CELL+LABELING+AND+IMAGING+USING+MULTIFUNCTIONAL+PERFLUOROCARBON+NANOEMULSION+&btnG=Search+Patents,0
6550,WO2006077232A3,MULTIMERIC SOLUBLE FAS LIGAND FOR ELIMINATING ALLOREACTIVE T LYMPHOCYTE IN ALLOGENIC HARMATOPOIETIC STEM-CELL TRANSPLANTATION TRANSPLANTATION ,US2005645290P | WO2006EP50300A,2005,20060727WO2006077232A2,"DUPUIS Marc,CH | DEMOTZ Stéphane,CH | GREANEY Peter,CH | ATTINGER Antoine,CH | PERROD Séverine,CH",WO2006077232A2 | WO2006077232A3,,DE10135615A1 | EP1481687A1 | US20030053984A1 | US20040131599A1,"APOXIS SA,CH | DUPUIS Marc,CH | DEMOTZ Stéphane,CH | GREANEY Peter,CH | ATTINGER Antoine,CH | PERROD Séverine,CH",US | EP,http://www.google.com/patents?q=MULTIMERIC+SOLUBLE+FAS+LIGAND+FOR+ELIMINATING+ALLOREACTIVE+T+LYMPHOCYTE+IN+ALLOGENIC+HARMATOPOIETIC+STEM-CELL+TRANSPLANTATION+TRANSPLANTATION+&btnG=Search+Patents,0
6571,WO2009100505A1,IMMUNOGENIC PEPTIDES AND THEIR USE IN TRANSPLANTATI ,WO2008BE10A,2008,20090820AU2008350785A1,"SAINT-REMY Jean-Marie,BE",AU2008350785A1 | CA2715517A1 | EP2249855A1 | WO2009100505A1 | WO2009100505A8,WO2009101208A2,WO1999058552A2 | WO2007104715A2 | WO2008017517A1,"LIFE SCIENCES RESEARCH PARTNERS VZW,BE | SAINT-REMY Jean-Marie,BE",BE,http://www.google.com/patents?q=IMMUNOGENIC+PEPTIDES+AND+THEIR+USE+IN+TRANSPLANTATI+&btnG=Search+Patents,0
6573,WO2008004598A1,"ERYTHROPOIETIN-PRODUCING ORGANOID PRECURSOR, METHOD OF CONSTRUCTING THE SAME AND METHOD OF TREATING ERYTHROPOIETIN-RELATED DISEASE ",JP2006185004A | WO2007JP63400A,2006,20080110CA2658060A1,"YOKOO Takashi,JP | OKABE Masataka,JP | HOSOYA Tatsuo,JP",CA2658060A1 | EP2042591A1 | EP2042591A4 | US20100095388A1 | WO2008004598A1,,JP2006185004A,"STEMCELL INSTITUTE INC.,JP | YOKOO Takashi,JP | OKABE Masataka,JP | HOSOYA Tatsuo,JP",JP,"http://www.google.com/patents?q=ERYTHROPOIETIN-PRODUCING+ORGANOID+PRECURSOR,+METHOD+OF+CONSTRUCTING+THE+SAME+AND+METHOD+OF+TREATING+ERYTHROPOIETIN-RELATED+DISEASE+&btnG=Search+Patents",0
6580,WO2010107185A2,"COMPOSITION FOR SKIN REGENERATION, CONTAINING A SECRETION IN THE CULTURE OF AN EMBRYONIC STEM CELL-DERIVED ENDOTHELIAL PROGENITOR CELL OR FRACTIONS THEREOF, AND USE THEREOF ",KR200917227A | WO2010KR1101A,2009,20100906KR2010098298A_,"CHUNG Hyung Min,KR | KIM Ju Mi,KR | LEE Min Ji,KR | HONG Ki Sung,KR | SUNG Jong Hyuk,KR",KR2010098298A_ | WO2010107185A2 | WO2010107185A3,,CA2665475A1 | KR2004064004A | KR2006028400A,"CHABIO&DIOSTECH CO. LTD.,KR | CHUNG Hyung Min,KR | KIM Ju Mi,KR | LEE Min Ji,KR | HONG Ki Sung,KR | SUNG Jong Hyuk,KR",KR,"http://www.google.com/patents?q=COMPOSITION+FOR+SKIN+REGENERATION,+CONTAINING+A+SECRETION+IN+THE+CULTURE+OF+AN+EMBRYONIC+STEM+CELL-DERIVED+ENDOTHELIAL+PROGENITOR+CELL+OR+FRACTIONS+THEREOF,+AND+USE+THEREOF+&btnG=Search+Patents",0
6584,WO2007058401A1,COMPOSITION COMPRISING OKADAIC ACID FOR UNDIFFERENTIATED PROLIFERATION OF EMBRYONIC STEM CELLS ,WO2005KR3925A,2005,20070524WO2007058401A1,"YOU Seungkwon,KR | YOON Byung Sun,KR | KIM Ki Dong,KR | JUN Eun Kyung,KR | MOON Jai Hee,KR | RYU Kyoung Su,KR | PARK Jae Yeo,KR | JUNG Hye Youn,KR | KIM Bona,KR | KIM Myung Jin,KR",CN101180388A_ | EP1948787A1 | EP1948787A4 | JP2009506785A_ | WO2007058401A1,,WO2002051997A1,"Imgen Co. Ltd.,KR | YOU Seungkwon,KR | YOON Byung Sun,KR | KIM Ki Dong,KR | JUN Eun Kyung,KR | MOON Jai Hee,KR | RYU Kyoung Su,KR | PARK Jae Yeo,KR | JUNG Hye Youn,KR | KIM Bona,KR | KIM Myung Jin,KR",KR,http://www.google.com/patents?q=COMPOSITION+COMPRISING+OKADAIC+ACID+FOR+UNDIFFERENTIATED+PROLIFERATION+OF+EMBRYONIC+STEM+CELLS+&btnG=Search+Patents,0
6604,WO2008090355A2,AGENTS ,GB20071321A | WO2008GB259A,2007,20070307GB200701321D0,"BIRNIE Richard,GB | MAITLAND Norman,GB | MISTRY Roshna,GB",GB200701321D0 | WO2008090355A2 | WO2008090355A3,WO2010149963A1,US20050118715A1 | US5728820A | WO2005089043A2 | WO2007012811A2,"PROCURE THERAPEUTICS LIMITED,GB | BIRNIE Richard,GB | MAITLAND Norman,GB | MISTRY Roshna,GB",GB,http://www.google.com/patents?q=AGENTS+&btnG=Search+Patents,0
6645,WO2000068448A1,Nb-Ti-Zr-Mo ALLOYS FOR MEDICAL AND DENTAL DEVICES ,US1999305881A | WO2000US11432A,1999,20001116WO2000068448A1,"DAVIDSON James A.,US | TUNEBERG Lee H.,US",AU200044984A_ | EP1206587A1 | EP1206587A4 | US6238491B1 | WO2000068448A1,EP1890183A1 | US7402173B2 | US7582112B2 | WO2002043787A1 | US7101391B2 | US7604703B2,US2822268A | US3230119A | US3346379A | US3644153A | US4040129A | US4952236A | US5169597A | US5179174A | US5562730A | US5904480A,"DAVITECH INC.,US",US,http://www.google.com/patents?q=Nb-Ti-Zr-Mo+ALLOYS+FOR+MEDICAL+AND+DENTAL+DEVICES+&btnG=Search+Patents,0
6652,WO2009154860A3,CRIPTO-1 AS A BIOMARKER FOR CARDIAC HYPOXIA ,US200846181P | WO2009US40971A,2008,20091223WO2009154860A2,"STRIZZI Luigi,US | BIANCO Caterina,US | SALOMON David,US",WO2009154860A2 | WO2009154860A3,,,"THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY DEPARTMENT OF HEALTH AND HUMAN SERVICES,US | STRIZZI Luigi,US | BIANCO Caterina,US | SALOMON David,US",US,http://www.google.com/patents?q=CRIPTO-1+AS+A+BIOMARKER+FOR+CARDIAC+HYPOXIA+&btnG=Search+Patents,0
6653,WO2010037835A2,"CROSS-SPECIES-SPECIFIC PSCAXCD3, CD19XCD3, C-METXCD3, ENDOSIALINXCD3, EPCAMXC D3, IGF-1RXCD3 OR FAPALPHA XCD3 BISPECIFIC SINGLE CHAIN ANTIBODY ",US2008101850P | US2008101853P | US2008101844P | US2008101921P | US2008101933P | US2008101927P | US2008101846P | WO2009EP62792A,2008,20100408WO2010037835A2,"KUFER Peter,DE | RAUM Tobias,DE | KISCHEL Roman,DE | LUTTERBÜSE Ralf,DE | HOFFMANN Patrick,DE | RAU Doris,DE | KLINGER Matthias,DE | MANGOLD Susanne,DE | BLÜMEL Claudia,DE",WO2010037835A2 | WO2010037835A3 | WO2010037837A2 | WO2010037837A3,,WO2004106381A1 | WO2007042261A2 | WO2008119565A2 | WO2008119566A2 | WO2008119567A2,"MICROMET AG,DE | KUFER Peter,DE | RAUM Tobias,DE | KISCHEL Roman,DE | LUTTERBÜSE Ralf,DE | HOFFMANN Patrick,DE | RAU Doris,DE | KLINGER Matthias,DE | MANGOLD Susanne,DE | BLÜMEL Claudia,DE",US | EP,"http://www.google.com/patents?q=CROSS-SPECIES-SPECIFIC+PSCAXCD3,+CD19XCD3,+C-METXCD3,+ENDOSIALINXCD3,+EPCAMXC+D3,+IGF-1RXCD3+OR+FAPALPHA+XCD3+BISPECIFIC+SINGLE+CHAIN+ANTIBODY+&btnG=Search+Patents",0
6655,WO2010127119A2,MULTIPHASIC MICROFIBERS FOR SPATIALLY GUIDED CELL GROWTH ,US2009173864P | WO2010US32971A,2009,20101104WO2010127119A2,"LAHANN Joerg,US | BHASKAR Srijanani,US | MANDAL Suparna,US",WO2010127119A2,,,"THE REGENTS OF THE UNIVERSITY OF MICHIGAN,US | LAHANN Joerg,US | BHASKAR Srijanani,US | MANDAL Suparna,US",US,http://www.google.com/patents?q=MULTIPHASIC+MICROFIBERS+FOR+SPATIALLY+GUIDED+CELL+GROWTH+&btnG=Search+Patents,0
6686,WO2010109346A1,QUANTIFICATION OF INTRACELLULAR AND EXTRACELLULAR SPIO AGENTS WITH R2 AND R2* MAPPING ,US2009163062P | WO2010IB50586A,2009,20100930WO2010109346A1,"LIU Wei,NL | SENEGAS Julien,NL | REMMELE Stefanie,NL",WO2010109346A1,,US20080272779A1,"KONINKLIJKE PHILIPS ELECTRONICS N.V.,NL | PHILIPS INTELLECTUAL PROPERTY & STANDARDS GMBH,DE | LIU Wei,NL | SENEGAS Julien,NL | REMMELE Stefanie,NL",US | IB,http://www.google.com/patents?q=QUANTIFICATION+OF+INTRACELLULAR+AND+EXTRACELLULAR+SPIO+AGENTS+WITH+R2+AND+R2*+MAPPING+&btnG=Search+Patents,0
6695,WO2001074406A2,MAGNETIC-RESPONSIVE DENDRIMER COMPOSITION AND ITS USE IN MAGNETIC RESONANCE ANALYSIS ,US2000193360P | WO2001US10387A,2000,20011011WO2001074406A2,"BULTE Jeff W. M.,US | DOUGLAS Trevor,US",AU200153041A_ | WO2001074406A2 | WO2001074406A3,US6713173B2 | US7304585B2 | WO2009156445A2 | US7606533B2 | US7450966B2 | US7274909B2 | US7107009B2 | US7047041B2 | US6815063B1 | US6986942B1 | US6896957B1,GB2311138A | WO1995020405A1 | WO1996009840A1 | WO1998023293A1 | WO2001082899A2,"THE GOVERNMENT OF THE UNITED STATES OF AMERICA as represented by THE SECRETARY DEPARTMENT OF HEALTH AND HUMAN SERVICES THE NATIONAL INSTITUTES OF HEALTH,US | BULTE Jeff W. M.,US | DOUGLAS Trevor,US",US,http://www.google.com/patents?q=MAGNETIC-RESPONSIVE+DENDRIMER+COMPOSITION+AND+ITS+USE+IN+MAGNETIC+RESONANCE+ANALYSIS+&btnG=Search+Patents,0
6702,WO2001076639A2,CHEMICALLY-MODIFIED MYELOPOIETIN CONJUGATES ,US2000195496P | WO2001US11256A,2000,20011018WO2001076639A2,"GOKARN Yatin,US | HILLS Robert,US | NICASTRO Peter,US | QI Hong,US | SEDO Kurt,US | SIEGEL Ned,US | WALTER Smith,US | FINN Rory,US",AU200189307A_ | WO2001076639A2 | WO2001076639A3,US7714114B2 | WO2003044056A2 | WO2005085283A1 | WO2003044056A3,US6022535A | WO1990012874A2 | WO1994012639A2 | WO1995021197A1 | WO1996011953A1,"PHARMACIA CORPORATION,US | GOKARN Yatin,US | HILLS Robert,US | NICASTRO Peter,US | QI Hong,US | SEDO Kurt,US | SIEGEL Ned,US | WALTER Smith,US | FINN Rory,US",US,http://www.google.com/patents?q=CHEMICALLY-MODIFIED+MYELOPOIETIN+CONJUGATES+&btnG=Search+Patents,0
6750,WO2002047476A2,TRANSGENIC MICE CONTAINING SERINE/THREONINE KINASE (STK) TARGET GENE DISRUPTIONS ,US2000256213P | US2000256233P | WO2001US47735A,2000,20020620WO2002047476A2,"ALLEN Keith D.,US",AU200228968A_ | WO2002047476A2 | WO2002047476A3,,WO1999060100A1,"DELTAGEN INC.,US | ALLEN Keith D.,US",US,http://www.google.com/patents?q=TRANSGENIC+MICE+CONTAINING+SERINE/THREONINE+KINASE+(STK)+TARGET+GENE+DISRUPTIONS+&btnG=Search+Patents,0
6755,WO2009000539A1,MODULATION OF PRODUCTION OF RETROVIRUSES BY APOBEC4 ,EP200712583A | WO2008EP5230A,2007,20081231EP2009099A1,"PERKOVIC Mario,DE | MÜNK Carsten,DE | CICHUTEK Klaus,DE",EP2009099A1 | WO2009000539A1,,WO2005117947A1 | WO2006065377A2,"BUNDESREPUBLIK DEUTSCHLAND LETZTVERTRETEN DURCH DEN PRÄSIDENTEN DES PAUL-EHRLICH-INSTITUTS,DE | PERKOVIC Mario,DE | MÜNK Carsten,DE | CICHUTEK Klaus,DE",EP,http://www.google.com/patents?q=MODULATION+OF+PRODUCTION+OF+RETROVIRUSES+BY+APOBEC4+&btnG=Search+Patents,0
6757,WO2005047530A2,METHOD FOR ASSAYING COMPOUNDS THAT MODULATE THE ACTIVITY OF PROTEIN TYROSINE PHOSPHATASE RECEPTOR ZETA (PTPRZETA) ,US2004598565P | WO2004US37514A,2003,20050526WO2005047530A2,"GOLDMAN Steven A.,US | SIM Fraser J.,US | CHANDROSS Karen,US | MERRILL Jean,US | NATESAN Sridaran,US",WO2005047530A2 | WO2005047530A3,,WO1994018308A1 | WO2001064944A1,"AVENTIS PHARMACEUTICALS INC.,US | GOLDMAN Steven A.,US | SIM Fraser J.,US | CHANDROSS Karen,US | MERRILL Jean,US | NATESAN Sridaran,US",US,http://www.google.com/patents?q=METHOD+FOR+ASSAYING+COMPOUNDS+THAT+MODULATE+THE+ACTIVITY+OF+PROTEIN+TYROSINE+PHOSPHATASE+RECEPTOR+ZETA+(PTPRZETA)+&btnG=Search+Patents,0
6807,WO2009034436A2,HEMATOPOIETIC CELLS THAT EXPRESS TMCC-1,, ,IT2007MI1744A | WO2008IB2328A,2007,20071211IT2007MI1744A1,"ABRIGNANI Sergio,IT | CROSTI Mariacristina,IT | MORO Monica,IT",IT2007MI1744A1 | WO2009034436A2 | WO2009034436A3,,WO2005035569A2 | WO2006099485A2,"ISTITUTO NAZIONALE DI GENETICA MOLECOLARE-INGM,IT | ABRIGNANI Sergio,IT | CROSTI Mariacristina,IT | MORO Monica,IT",0
6808,WO1996040244A1,ANTIBODIES TO PORCINE CD34 POSITIVE CELLS AND USES THEREFOR ,US1995475634A | WO1996US8340A,1995,19961219WO1996040244A1,HAWLEY Robert J. | MONROY Rodney L.,AU199659665A_ | US5962644A_ | WO1996040244A1,US7560538B2 | US7795493B2,WO1993009815A1,BIOTRANSPLANT INC.,US,http://www.google.com/patents?q=ANTIBODIES+TO+PORCINE+CD34+POSITIVE+CELLS+AND+USES+THEREFOR+&btnG=Search+Patents,0
6818,WO2010011352A3,"COMPOSITIONS FOR MESODERM DERIVED ISL1+ MULTIPOTENT CELLS (IMPS), EPICARDIAL PROGENITOR CELLS (EPCS) AND MULTIPOTENT CXCR4+CD56+ CELLS (C56CS) AND METHODS OF USE ",US2008137058P | US2008198861P | US2009215621P | WO2009US4334A,2008,20100128WO2010011352A2,"DALTON Stephen,US | REYNOLDS David,US",WO2010011352A2 | WO2010011352A3,,US20060030042A1 | US20060246446A1 | WO2007070964A1,"THE UNIVERSITY OF GEORGIA RESEARCH FOUNDATION INC.,US | DALTON Stephen,US | REYNOLDS David,US",US,"http://www.google.com/patents?q=COMPOSITIONS+FOR+MESODERM+DERIVED+ISL1++MULTIPOTENT+CELLS+(IMPS),+EPICARDIAL+PROGENITOR+CELLS+(EPCS)+AND+MULTIPOTENT+CXCR4+CD56++CELLS+(C56CS)+AND+METHODS+OF+USE+&btnG=Search+Patents",0
6827,WO2010040262A1,METHODS FOR ISOLATING ANIMAL EMBRYONIC MESENCHYMAL STEM CELLS AND EXTRACTING SECRETION SUBSTANCE THEREOF ,WO2008CN72648A,2008,20100415AU2009301517A1,"LIAN Qizhou,CN | XIA Jianchuan,CN",AU2009301517A1 | CN101802177A_ | JP2010538681A_ | KR2010065338A_ | WO2010040262A1 | WO2010040302A1,,CN101199550A | CN101270349A | CN1746297A | WO2007079183A2,"TEAM YOUN BIOMEDICAL TECHNOLOGY CO. LTD.,CN | LIAN Qizhou,CN | XIA Jianchuan,CN",CN,http://www.google.com/patents?q=METHODS+FOR+ISOLATING+ANIMAL+EMBRYONIC+MESENCHYMAL+STEM+CELLS+AND+EXTRACTING+SECRETION+SUBSTANCE+THEREOF+&btnG=Search+Patents,0
6849,WO2007056593A2,&#945;-HELIX MIMETICS AND METHOD RELATING TO THE TREATMENT OF CANCER STEM CELLS ,US2005734655P | WO2006US43859A,2005,20070518AU2006311433A1,"KAHN Michael,US",AU2006311433A1 | CA2629136A1 | EP1957516A2 | JP2009515890A_ | KR2008070060A_ | US20070129353A1 | US20100069333A1 | WO2007056593A2 | WO2007056593A3,EP2029142A1 | WO2010128685A1 | WO2010023480A1 | WO2010011864A2 | WO2010001989A1,WO2001016135A2 | WO2002092010A2 | WO2004072076A1 | WO2006101858A1,"INSTITUTE FOR CHEMICAL GENOMICS,US | KAHN Michael,US",US,http://www.google.com/patents?q=&#945;-HELIX+MIMETICS+AND+METHOD+RELATING+TO+THE+TREATMENT+OF+CANCER+STEM+CELLS+&btnG=Search+Patents,0
