Publication Number,Title,Claims
WO2003083088A3,STEM CELL THERAPY ,
WO2003083089A3,TOLEROGENIC ANTIGEN-PRESENTING CELLS ,
WO2006059777A1,REMEDY FOR ALZHEIMER'S DISEASE ,
WO2006090886A1,METHOD OF ANALYZING DYNAMICS IN THE DIFFERENTIATION OF VASCULAR ENDOTHELIAL PROGENITOR CELLS ,
WO2007019545A3,TISSUE PROTECTIVE PEPTIDES AND USES THEREOF ,
WO2007138119A1,PROCEDURE FOR THE PREPARATION OF UNILAMELLAR VESICLES FOR CRYOPRESERVATION AND THE CULTURE OF STEM CELLS AND EMBRYOS ,
WO2007129428A1,METHOD FOR ISOLATION OF STEM CELL ,
WO2008109110A3,SYSTEM FOR REGULATING BLOOD PRESSURE ,
WO2006082890A1,METHOD OF INDUCING DIFFERENTIATION OF EMBRYO-STEM CELL INTO HEPATOCYTE AND HEPATOCYTE INDUCED BY THE METHOD ,
WO2009062260A8,THERAPY FOR MULTIPLE SCLEROSIS ,
WO2007091919A8,"METHOD FOR TREATING CHRONIC ILLNESSES (VARIANTS), METHOD FOR PRODUCING A BIOGRAFT (VARIANTS) AND A BIOGRAFT (VARIANTS) ",
WO2005089823A1,"SETTLING AGENT FOR HOLLOW ORGAN TO BE REGENERATED, HOLLOW ORGAN TO BE REGENERATED OF SETTLING TYPE, METHOD OF CONSTRUCTING HOLLOW ORGAN TO BE REGENERATED OF SETTLING TYPE AND METHOD OF REGENERATING AND SETTLING HOLLOW ORGAN ",
WO2010055900A1,METHOD FOR PRODUCING DENDRITIC CELLS ,
WO2000066714A3,SHIGA-LIKE TOXIN AS AN ENRICHING AND PURGING AGENT ,
WO2005097988A1,BONE MARROW-RELEVANT CELL PARTICIPATING THE MAINTENANCE AND/OR REPAIR OF TISSUE ,
WO2003064634A1,LIQUID FOR FROZEN STORAGE OF PRIMATE EMBRYO STEM CELLS AND FROZEN STORAGE METHOD ,
WO2003050262A3,METHOD FOR THE GENERATION OF ANTIGEN-SPECIFIC LYMPHOCYTES ,
WO2007139929A3,METHODS FOR CULTURE AND PRODUCTION OF SINGLE CELL POPULATIONS OF HUMAN EMBRYONIC STEM CELLS ,
WO2001050848A3,CLONAL PROPAGATION OF PRIMATE OFFSPRING BY EMBRYO SPLITTING ,
WO2002097065A3,REMODELING OF SOMATIC NUCLEI UPON ADDITION OF PLURIPOTENT CELL EXTRACTS ,
WO2003004995A3,HIGH-THROUGHPUT STEM CELL ASSAY OF HEMATOPOIETIC STEM AND PROGENITOR CELL PROLIFERATION ,
WO2008090960A1,GENETICALLY RECOMBINANT ANTIBODY COMPOSITION CAPABLE OF BINDING SPECIFICALLY TO GANGLIOSIDE GM2 ,
WO2006128140A3,GENE METHYLATION AND EXPRESSION ,
WO2007133941A3,THERAPEUTIC AGENT CARRIER ,
WO1999059500A3,APPARATUS AND METHODS FOR PREPARING AN IMPLANTABLE GRAFT ,
WO2006057278A1,REMEDY FOR HEART DISEASE USING MAP KINASE TNNI3K ,
WO2010005876A3,POLYCYCLIC HETEROARYL SUBSTITUTED TRIAZOLES USEFUL AS AXL INHIBITORS ,
WO2009074634A3,"POLYPEPTIDES, ANTIBODY VARIABLE DOMAINS & ANTAGONISTS ",
WO2007030012A3,EXTRACELLULAR MATRIX IMAGING ,
WO2008066330A8,USE OF A COMPOSITION CONTANING HUMAN UMBILICAL CORD BLOOD-DERIVED MESENCHYMAL STEM CELL FOR INDUCING DIFFERENTIATION AND PROLIFERATION OF NEURAL PRECURSOR CELLS OR NEURAL STEM CELLS TO NEURAL CELLS ,
WO2003037920A3,ENZYME-DEFICIENT C3 BOTULINUM PROTEIN SPECIES AND THEIR USE TO PROMOTE NEURONAL GROWTH AND NEURONAL REGENERATION ,
WO2009071903A8,COMPOSITION COMPRISING A CHONDROITIN SULPHATE PROTEOGLYCAN INHIBITORY AGENT AND AN ANTI-INFLAMMATORY AGENT ,
WO2006029084A3,BONE MARROW DERIVED OCT3/4+ STEM CELLS ,
WO2010061781A1,"STEM CELL FOR THERAPEUTIC USE WHICH IS DERIVED FROM HUMAN MONOCYTE, AND METHOD FOR INDUCING SAME ",
WO2001036482A8,TRANSGENIC MICE EXPRESSING FLUORESCENT PROTEIN UNDER THE CONTROL OF THE NESTIN PROMOTER ,
WO2010028651A3,METHOD OF UPREGULATING SORLA FOR THE TREATMENT OF ALZHEIMER'S DISEASE ,
WO2008034430A3,SERUM-FREE MEDIUM FOR THE DIFFERENTIATION OF STEM CELLS ,
WO2008018190A1,FAT-DERIVED NEURAL CREST CELLS ,
WO2005107818A3,NANOPARTICLES AND THEIR USE FOR MULTIFUNCTIONAL BIOIMAGING ,
WO2009114097A4,METHOD OF MODULATING T CELL-DEPENDENT IMMUNE RESPONSES ,
WO2010126194A1,AUTOLOGOUS AND ALLOGENIC ADIPOSE-DERIVED STROMAL STEM CELL COMPOSITION FOR TREATING FISTULAS ,
WO2000064458A3,METHOD FOR INDUCING A DONOR TOLERANCE IN THE HUMAN BODY ,
WO2002102847A1,NOVEL LIGAND AND DNA THEREOF ,
WO2002099081A3,METHODS OF USING COLONY STIMULATING FACTORS IN THE TREATMENT OF TISSUE DAMAGE AND ISCHEMIA ,
WO2010137780A1,BIODEGRADABLE SUTURE TYPE CELL DELIVERY SYSTEM FOR IMPROVING STEM CELL ENGRAFTMENT RATE ,
WO2000047721A3,METHODS OF INDUCING INSULIN POSITIVE PROGENITOR CELLS ,
WO2010117052A1,ORGANISM SAMPLE OBSERVATION DEVICE ,
WO2008127290A3,ALGINATE AND ALGINATE LYASE COMPOSITIONS AND METHODS OF USE ,
WO2007113762A3,BULKING OF SOFT TISSUE ,
WO2007028003B1,BIOLOGICALLY INTEGRATED ELECTRODE DEVICES ,
WO2002042445A3,DIFFERENTIATED CELLS SUITABLE FOR HUMAN THERAPY ,
WO2008144052A3,BIOLUMINESCENT IMAGING OF STEM CELLS ,
WO2007129396A1,METHOD FOR REGENERATION OR TRANSPLANTATION OF CARTILAGE ,
WO2010062966A3,METHODS FOR INDUCING MIXED CHIMERISM ,
WO2002040640A2,METHODS OF USING CD8+/TCR- FACILITATING CELLS (FC) FOR THE ENGRAFTMENT OF PURIFIED HEMATOPOIETIC STEM CELLS (HSC) ,
WO2005037996A3,DEVELOPPEMENT <I>IN VITRO</I> DE TISSUS ET D'ORGANES,
WO2008060792A3,"NOVEL CELLS, COMPOSITIONS, AND METHODS ",
WO2009150415A3,NOVEL ADULT PROGENITOR CELL ,
WO2007120980A3,"2,4-PYRIMIDINEDIAMINE COMPOUNDS FOR TREATING OR PREVENTING AUTOIMMUNE DISEASES ",
WO2000047720A3,"PANCREATIC PROGENITOR CELLS, METHODS AND USES RELATED THERETO ",
WO2008061014A3,SELF-ASSEMBLING PEPTIDE AMPHIPHILES FOR TISSUE ENGINEERING ,
WO2000017323A9,STABLE NEURAL STEM CELL LINES ,
WO2003078567B1,METHODS OF INDUCING DIFFERENTIATION IN EX VIVO EXPANDED STEM CELLS ,
WO2006051405A3,METHODS AND MEANS RELATED TO CANCER STEM CELLS ,
WO2005011765A1,METHOD OF CONSTRUCTING ARTIFICIAL JOINT ,
WO2008098184A3,METHODS FOR THE INDUCTION OF A CELL TO ENTER THE ISLET 1+ LINEAGE AND A METHOD FOR THE EXPANSION THEREOF ,
WO2007067683A3,METHODS AND COMPOSITIONS FOR EXPANDING T REGULATORY CELLS ,
WO2003102215A3,METHODS OF IDENTIFYING AND ISOLATING STEM CELLS AND CANCER STEM CELLS ,
WO2008131431A3,MODULATION DE L'EXPRESSION DES PROTÉINES DE LA BARRIÈRE HÉMATO-ENCÉPHALIQUE ,
WO2007024649A3,METHODS OF TREATING AND PREVENTING ACUTE MYOCARDIAL INFARCTION ,
WO2009006453A8,ENABLING THE USE OF LONG DSRNA FOR GENE TARGETING IN MAMMALIAN AND OTHER SELECTED ANIMAL CELLS ,
WO2009053064A8,SDF-1-BASED GLYCOSAMINOGLYCAN ANTAGONISTS AND METHODS OF USING SAME ,
WO2010073972A1,METHOD FOR OBTAINING PANCREATIC PROGENITOR CELL USING NEPH3 ,
WO2000046355A9,TELOMERASE REVERSE TRANSCRIPTASE TRANSCRIPTIONAL REGULATORY SEQUENCES ,
WO2006081190A3,COMPOSITIONS AND METHODS FOR TREATING CARDIAC CONDITIONS ,
WO2002050301A3,GENE EXPRESSION PROFILES ASSOCIATED WITH OSTEOBLAST DIFFERENTIATION ,
WO2005089520A3,METHODS AND COMPOSITIONS RELATING TO NEURONAL CELL AND TISSUE DIFFERENTIATION ,
WO2009071334A3,TRANSPOSON-MEDIATED MUTAGENESIS IN SPERMATOGONIAL STEM CELLS ,
WO2002096439A1,USE OF HAEMATOPOIETIC STEM CELLS IN THE GENERATION OF NEURAL STEM CELLS ,
WO2004083366A3,METHODS UTILIZING NOVEL TARGET GENES RELATED TO IMMUNE-MEDIATED DISEASES ,
WO2006090286A3,METHOD OF OBTAINING A POPULATION OF HUMAN HAEMOPOIETIC STEM CELLS ,
WO1999054439B1,ISOLATION AND PURGING OF CELLS BY MEANS OF OSMOTIC PRESSURE ,
WO2005032476A3,METHODS AND COMPOSITIONS FOR CPG15-2 ,
WO2004050078A1,REMEDY ,
WO2004005496A1,"NOVEL UNDIFFERENTIATED STEM CELLS CONTAINED IN CORD BLOOD, BONE MARROW, PERIPHERAL BLOOD OR THE LIKE ",
WO2010018950A3,PROTEIN SCAFFOLD LIBRARY BASED ON KRINGLE DOMAIN STRUCTURE AND USES THEREOF ,
WO2009073616A3,COMPOSITIONS COMPRISING VASCULAR AND MYOCYTE PROGENITOR CELLS AND METHODS OF THEIR USE ,
WO2009019007A3,SDF-1 BINDING NUCLEIC ACIDS AND THE USE THEREOF ,
WO2007124132A3,POLYMERIC COMPOSITIONS AND METHODS OF MAKING AND USING THEREOF ,
WO2008011560A3,BENZOTHIOPHENE INHIBITORS OF RHO KINASE ,
WO2008093225A3,SUB -POPULATION OF HEMATOPOIETIC STEM CELLS THAT EXPRESS THE CRISP-1 PROTEIN ,
WO2007148346A3,CUSTOMIZED STEM CELL WITH PATIENT'S PLASMA ,
WO2003038058A3,SURFACTANT PROTEIN D FOR THE PREVENTION AND DIAGNOSIS OF PULMONARY EMPHYSEMA ,
WO2008071093A8,ANTI-TUMOR VACCINES DELIVERED BY DENDRITIC CELLS DEVOID OF INTERLEUKIN-10 ,
WO2003078631A9,NOVEL GENES ,
WO2009123349A1,METHOD FOR PROLIFERATION OF PLURIPOTENT STEM CELL ,
WO2008063424A3,METHODS OF PROMOTING CARDIAC REPAIR USING GROWTH FACTORS FUSED TO HEPARIN BINDING SEQUENCES ,
WO2006009452A3,BIORESORBABLE BONE IMPLANT ,
WO2001011951A1,MOUSE HAVING HUMAN CYTOCHROME P450 TRANSFERRED THEREIN ,
WO2010015619A3,CELL-BASED METHOD FOR REBUILDING BONE ,
WO2008034076A3,CYCLOPHOSPHAMIDE IN COMBINATION WITH IMMUNE THERAPEUTICS ,
WO2003028782A1,COMPOSITE MATERIAL FOR TISSUE REGENERATION ,
WO2007022346A3,CELLULAR FUNCTION UNDERLYING BONE MICRO-STRUCTURE CHARACTERISTIC OF TYPE 2 DIABETES ,
WO2000012683A9,STEM CELLS BEARING AN FGF RECEPTOR ON THE CELL SURFACE ,
WO2009107984A2,COMPOSITION FOR PREVENTING SKIN AGING CONTAINING PLANT SPROUT EXTRACTS ,
WO2004010959A3,HEMATOPOIETIC STEM CELLS AND METHODS OF TREATMENT OF NEOVASCULAR EYE DISEASES THEREWITH ,
WO2007109223A3,CELL CO-CULTURE FOR HAIR FOLLICLE PRODUCTION ,
WO2007142987A3,MAMMARY STEM CELL MARKER ,
WO1996037601B1,CELL DIFFERENTIATION AGENTS ,
WO2008110624A3,MODULATOR COMPOUNDS OF THE DRUG RESISTANCE IN EPITHELIAL TUMOUR CELLS. ,
WO2007016372A3,METHOD FOR REGENERATING AN IMMUNE SYSTEM ,
WO2007092929A3,APPARATUS AND METHODS FOR DELIVERING FLUID AND MATERIAL TO A SUBJECT ,
WO2007076522A3,TREATMENT OF PERIPHERAL VASCULAR DISEASE USING POSTPARTUM-DERIVED CELLS ,
WO2009016518A3,BIOLOGICAL MESH TISSUE ENGINEERING SUPPORT ,
WO2009088876A3,TRANSGENIC NON-HUMAN ANIMALS EXPRESSING HUMAN BLOOD CLOTTING FACTORS ,
WO2000006701A9,IMPROVEMENT OF CARDIAC FUNCTION BY MESENCHYMAL STEM CELL TRANSPLANTATION ,
WO2002067856A3,INJECTION MOLDING OF LIVING TISSUES ,
WO1999053023A1,METHODS FOR ISOLATING OSTEOCLAST PRECURSOR CELLS AND INDUCING THE DIFFERENTIATION OF THE SAME INTO OSTEOCLASTS ,
WO2007088874A1,METHOD FOR PURIFYING CARDIAC MYOCYTE AND PRESUMPTIVE CARDIAC MYOCYTE DERIVED FROM STEM CELL AND FETUS ,
WO2003087305A3,METHODS AND COMPOSITIONS FOR ANCHORING STEM CELLS IN A MICROENVIRONMENT ,
WO2010040129A3,SCAFFOLDS FOR TISSUE ENGINEERING AND REGENERATIVE MEDICINE ,
WO1997018305A3,"METHOD TO PREPARE DRUG-RESISTANT, NON-MALIGNANT HEMATOPOIETIC CELLS",
WO2010117301A3,METHOD FOR PRODUCING PLURIPOTENTIAL CELLS ,
WO2008127352A3,"KNOCKOUT MICE FOR PR01105, PRO1279 OR PRO1783 CODING GENES ",
WO2009082443A3,PURIFICATION OF PROTEINS BY AFFINITY PRECIPITATION WITH STIMULI RESPONSIVE POLYMERS ,
WO2009132196A3,IN VITRO ISOLATED GASTROINTESTINAL EPITHELIAL STEM CELL-LIKE PROGENITOR CELL SYSTEM ,
WO2009042711A4,POLO-LIKE KINASE INHIBITORS ,
WO2006093857A3,METHOD OF PROVIDING READILY AVAILABLE CELLULAR MATERIAL DERIVED FROM PERIPHERAL BLOOD AND A COMPOSITION THEREOF ,
WO2008036349A3,FUSED STEM CELLS USEFUL FOR THE TREATMENT OF DIABETES AND METHODS THEREOF ,
WO2007085475A3,"METHOD FOR PRODUCING AUTONOMOUSLY CONTRACTING CARDIAC MUSCLE CELLS FROM ADULT STEM CELLS, IN PARTICULAR HUMAN ADULT STEM CELLS ",
WO2006057003A3,INDUCTION OF NEUROGENESIS AND STEM CELL THERAPY IN COMBINATION WITH COPOLYMER 1 ,
WO2000070021A3,DIFFERENTIATED HUMAN EMBRYOID CELLS AND A METHOD FOR PRODUCING THEM ,
WO2008085564A3,COMPOSITIONS AND METHODS INVOLVING TRUNCATED RECOMBINANT SEVEN G-PROTEIN COUPLED RECEPTORS ,
WO2009137829A3,DIRECTED STEM CELL RECRUITMENT ,
WO2009102453A3,SYSTEM AND METHOD FOR QUANTITATIVE ASSESSMENT OF BIOLOGICAL MIGRATION BEHAVIOR ,
WO2007016366A3,DEFINED CULTURE CONDITIONS OF HUMAN EMBRYONIC STEM CELLS ,
WO2010131821A1,RECOMBINANT PROTEIN OF FIBROBLAST GROWTH FACTOR HAVING ADHESIVE ACTIVITY FOR STEM CELLS AND METHOD FOR CULTURING STEM CELLS USING THE SAME ,
WO2007075899A3,DUAL AGONIST COMPOUNDS AND USES THEREOF ,
WO2001030374A9,STEM CELL ENGRAFTMENT-ENHANCING CELLULAR PROTEINS AND THEIR USES ,
WO2009155504A3,METHODS FOR THE MODULATION OF ANGIOGENESIS ,
WO2006044204A3,NEURONAL PROGENITORS FROM FEEDER-FREE HUMAN EMBRYONIC STEM CELL CULTURE ,
WO2003085099A3,"A PROCESS FOR THE PREPARATION OF STEM CELLS FROM HUMAN MUSCLE TISSUE AND ADIPOSE TISSUE, AND STEM CELLS OBTAINABLE BY THIS PROCESS ",
WO2007022515A3,STEM CELL DERIVED FACTORS FOR TREATING PATHOLOGIC CONDITIONS ,
WO2009034436A3,"HEMATOPOIETIC CELLS THAT EXPRESS TMCC-1"""" ",
WO2009145488A2,"XBP1(S) PROTEIN ACTING AS AN ADIPOCYTE DIFFERENTIATION MARKER HAVING A FACILITY TO REGULATE DIFFERENTIATION INTO ADIPOCYTES, AND AN APPLICATION THEREFOR ",
WO2005032572A3,MEANS AND METHODS FOR THE RECRUITMENT AND IDENTIFICATION OF STEM CELLS ,
WO2008054819A3,"CARDIOVASCULAR STEM CELLS, METHODS FOR STEM CELL ISOLATION, AND USES THEREOF ",
WO2005046740A3,RESORBABLE LAMINATED REPAIR FILM AND METHOD OF USING SAME ,
WO2002069976A3,USE OF OVARIAN HORMONE FOR INCREASING NEURAL STEM CELL NUMBER ,
WO2007080591A3,ADULT STEM CELL-DERIVED CONNECTIVE TISSUE PROGENITORS FOR TISSUE ENGINEERING ,
WO2006128083A3,"HUMAN PROISLET PEPTIDE, DERIVATIVES AND ANALOGS THEREOF, AND METHODS OF USING SAME ",
WO2008013967A8,CONTINUOUS CULTURE APPARATUS WITH MOBILE VESSEL AND PRODUCING A CULTURE IN A CONTINUOUS MANNER ,
WO2004090112B1,"STEM-CELL, PRECURSOR CELL, OR TARGET CELL-BASED TREATMENT OF MULTI-ORGAN FAILURE AND RENAL DYSFUNCTION ",
WO2007059108A3,SUBSTITUTED QUINOLONES AND METHODS OF USE ,
WO1997029183A3,METHODS AND COMPOSITIONS FOR TRANSFORMING DENDRITIC CELLS AND ACTIVATING T CELLS,
WO2002092812A1,ARTIFICIAL HUMAN CHROMOSOME CONTAINING HUMAN ANTIBODY &#955; LIGHT CHAIN GENE ,
WO1999029718A3,BONE MORPHOGENETIC PROTEIN (BMP)-17 AND BMP-18 AND COMPOSITIONS THEREOF ,
WO2008116157A3,MESENCHYMAL STEM CELLS AND USES THEREFOR ,
WO2006054666A1,CHICK LIF PROTEIN AND UTILIZATION THEREOF ,
WO2008012675A3,"METHOD FOR THE PRODUCTION OF MULTIPOTENT STEM CELLS, RELATIVE KITS AND USES IN THE MEDICAL FIELD ",
WO2008094936A3,STEM CELL COATED STENT ,
WO2002024229A1,METHOD OF REGULATING OSTEOCLAST FORMATION ,
WO2000014113A3,METHOD OF STIMULATING PROSAPOSIN RECEPTOR ACTIVITY ,
WO2002024244A3,METHOD OF PREPARING AND PROCESSING TRANSPLANT TISSUE ,
WO2007125420A3,STEM CELLS DERIVED FROM BONE MARROW FOR TISSUE REGENERATION ,
WO2009142770A3,COMPOSITIONS AND METHODS FOR GENERATING MUSCULOSKELETAL TISSUE ,
WO2006039407A3,VALIDATION OF TSSK FAMILY MEMBERS AND TSKS AS MALE CONTRACEPTIVE TARGETS ,
WO2008156512A3,QUANTUM DOT LABELED STEM CELLS FOR USE IN CARDIAC REPAIR ,
WO2010042562A3,MUC1* ANTIBODIES ,
WO2008109883A3,"MICROMECHANICAL DEVICES FOR CONTROL OF CELL-CELL INTERACTION, AND METHODS OF USE THEREOF ",
WO2007123851A3,METHOD AND APPARATUS FOR MODIFYING ELECTRICAL CONDUCTION IN THE HEART WITH PROFIBROTIC BLOOD PROGENITOR CELLS ,
WO2008101233A3,MITOCHONDRIAL NUCLEIC ACID DELIVERY SYSTEMS ,
WO2008152423A3,TREATMENT OF INFLAMMATION OR AUTOIMMUNE DISEASES WITH SULPHATED COMPOUNDS ,
WO2007095069A3,NF-YA ACTIVATES MULTIPLE HEMATOPOIETIC STEM CELL (HSC) REGULATORY GENES AND PROMOTES HSC SELF-RENEWAL ,
WO2010019702A3,DDR1-BINDING AGENTS AND METHODS OF USE THEREOF ,
WO2008109034A3,"MODULATING PDX-1 WITH PCIF1, METHODS AND USES THEREOF ",
WO2009116088A3,STEM CELL COMPOSITION FOR INDUCING TRANSPLANT TOLERANCE ,
WO2003087314A3,METHOD FOR ISOLATING AND MEASURING PROLIFERATION OF LONG-TERM LABEL RETAINING CELLS AND STEM CELLS ,
WO2006133052A3,A CELLULAR THERAPY FOR OCULAR DEGENERATION ,
WO2000027999A9,LYMPHOID TISSUE-SPECIFIC CELL PRODUCTION FROM HEMATOPOIETIC PROGENITOR CELLS IN THREE-DIMENSIONAL DEVICES ,
WO2005054467A1,EXPRESSION SYSTEM WITH THE USE OF MAMMALIAN &#946;-ACTIN PROMOTER ,
WO2007088459A3,TRANSGENIC ANIMALS DEFECTIVE FOR EMILIN PROTEIN WITH HYPERTENSIVE PHENOTYPE ,
WO2003024471A3,EFFECT OF GROWTH HORMONE AND IGF-1 ON NEURAL STEM CELLS AND THERAPEUTIC APPLICATION ,
WO2009066769A1,SUBSTRATE FOR CELL ADHESION OR CULTURE AND METHOD FOR PRODUCING THE SAME ,
WO2008050255A3,CONTRAST AGENTS FOR DETECTING PROSTATE CANCER ,
WO1998001151A1,NOVEL USE OF MK FAMILY AS HEMATOPOIETIC FACTOR ,
WO2005084119A3,"PLURIPOTENT EMBRYONIC-LIKE STEM CELLS DERIVED FROM CORNEAL LIMBUS, METHODS OF ISOLATION AND USES THEREOF ",
WO2006011644A1,CELLULITE-CONTROLLING AGENT ,
WO2008077022A3,"HIMF AND BTK IN PULMONARY, CARDIAC, AND INFLAMMATION DISORDERS ",
WO1999003980A1,AGM-DERIVED STROMA CELLS ,
WO2006036962A3,COMPOSITIONS AND METHODS FOR MODULATING TISSUE REGENERATION AND CHEMOTACTIC RESPONSES ,
WO2007000036A3,USE OF MAS G-PROTEIN-COUPLED RECEPTOR AGONISTS AND ANTAGONISTS AS APOPTOTIC ACTIVITY MODULATORS FOR PREVENTION AND TREATMENT OF DISEASES ,
WO2008034071A3,METHOD OF IDENTIFYING PATIENTS SUITABLE FOR HIGH-DOSE CYCLOPHOSPHAMIDE TREATMENT ,
WO2010075934A3,SORTING BIOLOGICAL SAMPLES ON NANOSTRUCTURED BOUNDARIES ,
WO2009120043A2,USE FOR CD45+ CELLS OR A CD45+ CELL CULTURE FLUID FOR PROMOTING THE GROWTH OF MESENCHYMAL STEM CELLS ,
WO1998020932A3,CONDITIONING FOR ALLOGENEIC STEM CELL TRANSPLANTATION ,
WO2003050249B1,ISLET CELLS FROM HUMAN EMBRYONIC STEM CELLS ,
WO2004108907A1,NERVE CELL OBTAINED BY ELECTRICALLY PULSE-TREATING ES CELL ,
WO2003073991A3,METHODS TO INCREASE OR DECREASE BONE DENSITY ,
WO2009072626A1,METHOD FOR AMPLIFICATION OF HEMATOPOIETIC STEM CELL USING HETEROCYCLIC COMPOUND ,
WO2010016533A1,METHOD FOR OBTAINING PURKINJE PROGENITOR CELL BY USING NEPH3(65B13) AND E-CADHERIN ,
WO2003047607A1,MEDICINAL COMPOSITIONS CONTAINING HUMAN AMNION-ORIGIN CELLS ,
WO2009099552A3,CELL CULTURE ARTICLE AND SCREENING ,
WO2002092756A8,INSULIN PRODUCING CELLS DERIVED FROM HUMAN EMBRYONIC STEM CELLS ,
WO2007146416B1,GLUCAN PREPARATIONS ,
WO2009066180A3,METHOD FOR THE SEPARATION OF CELLS ,
WO2006009297A1,CONSTRUCTION OF CHIMERA USING ES CELLS ,
WO2006091766A3,HUMAN TROPHOBLAST STEM CELLS AND USE THEREOF ,
WO2007099401A3,ONCOLYTIC ATTENUATED REOVIRUSES FOR TREATMENT OF PROLIFERATIVE DISORDERS ,
WO2007047882A3,COMBINATION OF CXCR4 ANTAGONIST AND MORPHOGEN TO INCREASE ANGIOGENESIS ,
WO2009059224A3,COMPOSITE STENT COMPRISING BIOREMOVABLE POLYMER AND BIOREMOVALE CERAMICS ,
WO2010015929A3,USES OF MESENCHYMAL STEM CELLS ,
WO2008089252A3,MINIMALLY INVASIVE INTERBODY DEVICE ASSEMBLY ,
WO2008016673A3,BIOACTIVE SCAFFOLDS ,
WO2009114860A3,ACTIVATED MESENCHYMAL STEM CELLS FOR THE PREVENTION AND REPAIR OF INFLAMMATORY STATES ,
WO2008002662A3,DIFFERENTIATION OF STEM CELLS FROM UMBILICAL CORD MATRIX INTO HEPATOCYTE LINEAGE CELLS ,
WO2004043336A3,METHODS OF USING AND COMPOSITIONS COMPRISING SELECTIVE CYTOKINE INHIBITORY DRUGS FOR THE TREATMENT AND MANAGEMENT OF MYELOPROLIFERATIVE DISEASES ,
WO2000005343A3,CELL EXPANSION SYSTEM FOR USE IN NEURAL TRANSPLANTATION ,
WO2008073619A3,MUTATIONS DE LA VOIE WNT DANS DES CELLULES SOUCHES CANCEREUSES ,
WO2004018652A3,"METHOD FOR OBTAINING DIPLOID, PLURIPOTENTIAL STEM CELLS AND USE THEREOF ",
WO2007035722B1,METHODS AND COMPOSITIONS FOR STIMULATING NEUROGENESIS AND INHIBITING NEURONAL DEGENERATION ,
WO2006039671A2,GENE MARKERS OF TUMOR METASTASIS ,
WO1999054346A1,GLUTATHIONE DERIVATIVES AND DOSAGE FORMS THEREOF ,
WO2007086932A3,PROSTATE STEM CELL ANTIGEN VACCINES AND USES THEREOF ,
WO2009135001A3,METHODS AND COMPOSITIONS FOR REGULATING TH2 AND TH17 RESPONSES ,
WO2007050314A3,MEDICAL DEVICE WITH LIVING CELL SHEET ,
WO2007056760A3,HCV-REACTIVE T CELL RECEPTORS ,
WO2010012127A1,USE OF A TRADITIONAL CHINESE MEDICINAL COMPOSITION FOR PREPARING MEDICINE FOR PROMOTING BONE MARROW-DERIVED MESENCHYMAL STEM CELL SURVIVAL IN VIVO AND CARDIAC MUSCLE DIFFERENTIATION ,
WO2003080822A1,PLACENTA-ORIGIN MESENCHYMAL CELLS AND MEDICINAL USE THEREOF ,
WO2003019136A3,METHODS FOR INHIBITING ANGIOGENESIS ,
WO2006018998A1,METHOD OF CONSTRUCTING CLONE MAMMAL ,
WO2002005811A1,STEM CELL REINFORCING MATERIAL ,
WO2003089592A3,ENHANCEMENT OF HEMATOPOIETIC STEM CELL SURVIVAL ,
WO2008080154A3,COMPOSITIONS AND METHODS FOR ENHANCING THE GROWTH OF MOUSE EMBRYONIC STEM CELLS ,
WO2010071692A2,METHODS FOR ENHANCED PROPAGATION OF CELLS ,
WO2010007502A3,PLATELET FRACTION DERIVING FROM PLACENTAL BLOOD ,
WO2007059303A3,"COMPOSITIONS FOR COORDINATED VEGF AND PDGF EXPRESSION, AND METHODS OF USE ",
WO2006091895A3,METHOD FOR THE TREATMENT OF RETINOPATHY OF PREMATURITY AND RELATED RETINOPATHIC DISEASES ,
WO2008156220A1,REPAIR AND TREATMENT OF BONE DEFECT BY USING CELLS INDUCED BY FACTOR PRODUCED BY CHONDROCYTE HAVING HYPERTROPHIC ABILITY AND SCAFFOLD ,
WO2008150025A1,NOVEL BONE MASS INCREASING AGENT ,
WO2003073843A3,INBRED EMBRYONIC STEM-CELL DERIVED MICE ,
WO2007013083A3,COMPLEMENT C3A DERIVED PEPTIDES AND USES THEREOF ,
WO2007070482A3,MICROARRAY-BASED PREIMPLANTATION GENETIC DIAGNOSIS OF CHROMOSOMAL ABNORMALITIES ,
WO2003040319A3,ENDOTHELIAL CELLS DERIVED FROM PRIMATE EMBRYONIC STEM CELLS ,
WO2000001731A1,FUSED PROTEIN WITH DIRECT BOND OF IL-6-RECEPTOR TO IL-6 ,
WO2007010305A3,SURGICAL MEMBRANE ,
WO2007141657A3,"COMPOSITIONS COMPRISING HUMAN EMBRYONIC STEM CELLS AND THEIR DERIVATIVES, METHODS OF USE, AND METHODS OF PREPARATION ",
WO2007142308A1,NITROGEN-CONTAINING HETEROCYCLIC COMPOUND AND THROMBOPOIETIN RECEPTOR ACTIVATOR ,
WO2008129563A3,HUMAN MESENCHYMAL STEM CELLS AND PREPARATION THEREOF ,
WO1996015230A3,USE OF STEM CELL FACTOR AND SOLUBLE INTERLEUKIN-6 RECEPTOR FOR THE EX VIVO EXPANSION OF HEMATOPOIETIC MULTIPOTENTIAL CELLS ,
WO2009120995A3,"COLLAGEN-BINDING SYNTHETIC PEPTIDOGLYCANS, PREPARATION, AND METHODS OF USE ",
WO2008061047A3,TISSUE SPECIFIC GENE THERAPY TREATMENT ,
